ID,Name,Country,Africa Region,State/Province/Region,City,Niche,Bio / Focus,Primary Platform,Primary Handle,Instagram Handle,Instagram Followers,TikTok Handle,TikTok Followers,YouTube Handle,YouTube Subscribers,Other Socials,Combined Audience Proxy,Average Views / Reach Metric,Engagement Rate,Starting Price,Currency,Pricing Status,Avatar / Profile Image URL,Cover URL,Primary Profile URL,Source URL,Source Updated,Notes
AFR-001,K Money,Ethiopia,East Africa,Addis Ababa,Addis Ababa,Lifestyle / culture / travel,Creator focused on lifestyle / culture / travel.,TikTok,@KmoneyinEthiopia,@K_Moneyyy1,"60,000",@KmoneyinEthiopia,"300,000",KmoneyTooClever,"45,000",,"405,000",,,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/KmoneyinEthiopia,,https://www.tiktok.com/@KmoneyinEthiopia,https://kmoneyinethiopia.com/,2026-05,"First-party creator site; 300K+ TikTok, 60K+ Instagram, 45K+ YouTube. Custom quote only."
AFR-002,Freedom,Ethiopia,East Africa,,,Short-form entertainment,Creator focused on short-form entertainment.,TikTok,@falmataabdoshe,,,@falmataabdoshe,"10,300,000",,,,"10,300,000",,21.02%,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/falmataabdoshe,,https://www.tiktok.com/@falmataabdoshe,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Creator-first TikTok account.
AFR-003,Adonaymada,Ethiopia,East Africa,,,Short-form entertainment,Creator focused on short-form entertainment.,TikTok,@adonaymada,,,@adonaymada,"6,100,000",,,,"6,100,000",,19.93%,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/adonaymada,,https://www.tiktok.com/@adonaymada,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Creator-first TikTok account.
AFR-004,Master Abinet Kebede,Ethiopia,East Africa,,,Comedy / short-form entertainment,Creator focused on comedy / short-form entertainment.,TikTok,@masterabinet,,,@masterabinet,"6,000,000",,,,"6,000,000",,24.38%,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/masterabinet,,https://www.tiktok.com/@masterabinet,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Social-media-native entertainment creator.
AFR-005,Napi,Ethiopia,East Africa,,,Short-form entertainment,Creator focused on short-form entertainment.,TikTok,@napiofficial27,,,@napiofficial27,"6,000,000",,,,"6,000,000",,6.12%,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/napiofficial27,,https://www.tiktok.com/@napiofficial27,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Creator-first TikTok account.
AFR-006,Sami Papa,Ethiopia,East Africa,,,Comedy / lifestyle,Creator focused on comedy / lifestyle.,TikTok,@sami_papa,,,@sami_papa,"3,800,000",,,,"3,800,000",,11.37%,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/sami_papa,,https://www.tiktok.com/@sami_papa,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Short-form creator.
AFR-007,Comedian Yasino,Ethiopia,East Africa,,,Comedy,Creator focused on comedy.,TikTok,@comedianyasino,,,@comedianyasino,"2,100,000",,,,"2,100,000",,,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/comedianyasino,,https://www.tiktok.com/@comedianyasino,https://tiktop.et/,2026-08-24,Comedy-first creator.
AFR-008,Yuti Nass,Ethiopia,East Africa,,,Short-form entertainment,Creator focused on short-form entertainment.,TikTok,@yuti_nass,,,@yuti_nass,"2,800,000",,,,"2,800,000",,,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/yuti_nass,,https://www.tiktok.com/@yuti_nass,https://tiktop.et/,2026-08-24,TikTok-first creator.
AFR-009,Bertemios,Ethiopia,East Africa,,,Short-form entertainment,Creator focused on short-form entertainment.,TikTok,@bertemios,,,@bertemios,"2,000,000",,,,"2,000,000",,,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/bertemios,,https://www.tiktok.com/@bertemios,https://tiktop.et/,2026-08-24,TikTok-first creator.
AFR-010,Dave,Ethiopia,East Africa,Amhara,Bahir Dar,Comedy / prank / lifestyle,Creator focused on comedy / prank / lifestyle.,TikTok,@djdava12,,,@djdava12,"328,200",,,,"328,200","1,400,000",5.27%,,ETB,Request quote / not publicly verified,https://unavatar.io/tiktok/djdava12,,https://www.tiktok.com/@djdava12,https://www.modash.io/find-influencers/tiktok/ethiopia,2026-07-08,Location references support Bahir Dar.
AFR-011,Elshaday Wubetu (Sheger Gebeta),Ethiopia,East Africa,Addis Ababa,Addis Ababa,Food / restaurants,Creator focused on food / restaurants.,Instagram,@shegergebeta,@shegergebeta,"239,000",,"770,000",,,,"1,009,000",,,,ETB,Request quote / not publicly verified,https://unavatar.io/instagram/shegergebeta,,https://www.instagram.com/shegergebeta/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,Source bio reports 770K+ TikTok audience but does not expose the TikTok handle.
AFR-012,Mahider Kebede,Ethiopia,East Africa,,,Food / coffee / travel,Creator focused on food / coffee / travel.,Instagram,@mahider.k,@mahider.k,"145,700",,,,,,"145,700",,,,ETB,Request quote / not publicly verified,https://unavatar.io/instagram/mahider.k,,https://www.instagram.com/mahider.k/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,"Food, coffee and travel video creator."
AFR-013,Chef Yohanis,Ethiopia,East Africa,,,Food / culinary culture,Creator focused on food / culinary culture.,Instagram,@chef_yohanis,@chef_yohanis,"126,100",,,,,,"126,100",,,,ETB,Request quote / not publicly verified,https://unavatar.io/instagram/chef_yohanis,,https://www.instagram.com/chef_yohanis/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,"Included as a creator for culinary content, not celebrity status."
AFR-014,Enun,Ethiopia,East Africa,,,Food,Creator focused on food.,Instagram,@enun_088,@enun_088,"67,500",,,,,,"67,500",,,,ETB,Request quote / not publicly verified,https://unavatar.io/instagram/enun_088,,https://www.instagram.com/enun_088/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,Ethiopian food creator.
