Name,Country,State/Province/Region,City,Bio / Focus,Primary Platform,Primary Handle,Instagram Handle,Instagram Followers,TikTok Handle,TikTok Followers,YouTube Handle,YouTube Subscribers,Other Socials,Combined Audience Proxy,Average Views / Reach Metric,Engagement Rate,Starting Price,Currency,Pricing Status,Avatar URL,Cover URL,Primary Profile URL,Source URL,Source Updated,Notes
K Money,Ethiopia,Addis Ababa,Addis Ababa,Creator focused on lifestyle / culture / travel.,TikTok,@KmoneyinEthiopia,@K_Moneyyy1,"60,000",@KmoneyinEthiopia,"300,000",KmoneyTooClever,"45,000",,"405,000",,,,ETB,Request quote / not publicly verified,https://kmoneyinethiopia.com/kmoney.jpg,,https://www.tiktok.com/@KmoneyinEthiopia,https://kmoneyinethiopia.com/,2026-05,"First-party creator site; 300K+ TikTok, 60K+ Instagram, 45K+ YouTube. Custom quote only."
Freedom,Ethiopia,,,Creator focused on short-form entertainment.,TikTok,@falmataabdoshe,,,@falmataabdoshe,"10,300,000",,,,"10,300,000",,21.02%,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@falmataabdoshe,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Creator-first TikTok account.
Adonaymada,Ethiopia,,,Creator focused on short-form entertainment.,TikTok,@adonaymada,,,@adonaymada,"6,100,000",,,,"6,100,000",,19.93%,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@adonaymada,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Creator-first TikTok account.
Master Abinet Kebede,Ethiopia,,,Creator focused on comedy / short-form entertainment.,TikTok,@masterabinet,,,@masterabinet,"6,000,000",,,,"6,000,000",,24.38%,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@masterabinet,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Social-media-native entertainment creator.
Napi,Ethiopia,,,Creator focused on short-form entertainment.,TikTok,@napiofficial27,,,@napiofficial27,"6,000,000",,,,"6,000,000",,6.12%,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@napiofficial27,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Creator-first TikTok account.
Sami Papa,Ethiopia,,,Creator focused on comedy / lifestyle.,TikTok,@sami_papa,,,@sami_papa,"3,800,000",,,,"3,800,000",,11.37%,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@sami_papa,https://hafi.pro/top/most-followed-tiktok/ethiopia,2026-08-14,Short-form creator.
Comedian Yasino,Ethiopia,,,Creator focused on comedy.,TikTok,@comedianyasino,,,@comedianyasino,"2,100,000",,,,"2,100,000",,,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@comedianyasino,https://tiktop.et/,2026-08-24,Comedy-first creator.
Yuti Nass,Ethiopia,,,Creator focused on short-form entertainment.,TikTok,@yuti_nass,,,@yuti_nass,"2,800,000",,,,"2,800,000",,,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@yuti_nass,https://tiktop.et/,2026-08-24,TikTok-first creator.
Bertemios,Ethiopia,,,Creator focused on short-form entertainment.,TikTok,@bertemios,,,@bertemios,"2,000,000",,,,"2,000,000",,,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@bertemios,https://tiktop.et/,2026-08-24,TikTok-first creator.
Dave,Ethiopia,Amhara,Bahir Dar,Creator focused on comedy / prank / lifestyle.,TikTok,@djdava12,,,@djdava12,"328,200",,,,"328,200","1,400,000",5.27%,,ETB,Request quote / not publicly verified,,,https://www.tiktok.com/@djdava12,https://www.modash.io/find-influencers/tiktok/ethiopia,2026-07-08,Location references support Bahir Dar.
Elshaday Wubetu (Sheger Gebeta),Ethiopia,Addis Ababa,Addis Ababa,Creator focused on food / restaurants.,Instagram,@shegergebeta,@shegergebeta,"239,000",,"770,000",,,,"1,009,000",,,,ETB,Request quote / not publicly verified,,,https://www.instagram.com/shegergebeta/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,Source bio reports 770K+ TikTok audience but does not expose the TikTok handle.
Mahider Kebede,Ethiopia,,,Creator focused on food / coffee / travel.,Instagram,@mahider.k,@mahider.k,"145,700",,,,,,"145,700",,,,ETB,Request quote / not publicly verified,,,https://www.instagram.com/mahider.k/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,"Food, coffee and travel video creator."
Chef Yohanis,Ethiopia,,,Creator focused on food / culinary culture.,Instagram,@chef_yohanis,@chef_yohanis,"126,100",,,,,,"126,100",,,,ETB,Request quote / not publicly verified,,,https://www.instagram.com/chef_yohanis/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,"Included as a creator for culinary content, not celebrity status."
Enun,Ethiopia,,,Creator focused on food.,Instagram,@enun_088,@enun_088,"67,500",,,,,,"67,500",,,,ETB,Request quote / not publicly verified,,,https://www.instagram.com/enun_088/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,Ethiopian food creator.
Nathnael Takele,Ethiopia,Addis Ababa,Addis Ababa,Creator focused on food / restaurant reviews.,Instagram,@natitakele116,@natitakele116,"13,400",,,,,,"13,400",,,,ETB,Request quote / not publicly verified,,,https://www.instagram.com/natitakele116/,https://influencers.feedspot.com/ethiopian_food_instagram_influencers/,2026-07-27,Food vlogger and restaurant reviewer.
Stoetzner Sinja,Kenya,,,Creator focused on travel.,Instagram,@travelwithsinja,@travelwithsinja,"121,300",,,,,,"121,300",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/travelwithsinja/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel creator sharing Kenya hidden gems.
Qamili,Kenya,Mombasa,Mombasa,Creator focused on food / travel.,Instagram,@chaqula_,@chaqula_,"54,100",,,,,,"54,100",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/chaqula_/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-07-27,East Africa food and travel creator.
Nabilah Omar,Kenya,,,Creator focused on travel / lifestyle / style.,Instagram,@queen.nabilah,@queen.nabilah,"38,500",,,,,,"38,500",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/queen.nabilah/,https://influencers.feedspot.com/kenya_travel_instagram_influencers/,2026-08-19,Travel and lifestyle creator.
Adam Maina,Kenya,Nairobi City,Nairobi,Creator focused on travel / lifestyle.,Instagram,@adammaina,@adammaina,"122,800",,,,,,"122,800",,,,KES,Request quote / not publicly verified,,,https://www.instagram.com/adammaina/,https://influencers.feedspot.com/kenya_instagram_influencers/,2026-08-19,Travel and lifestyle influencer.
